id,date,time,username,name,tweet,,replies_count,retweets_count,likes_count,Pro Vaccine,Pro Vaccine True false
1509240289415905284,2022-03-30,13:44:59,potus,President Biden,"When I took office about 14 months ago, the pandemic was raging, the economy was reeling, and the deficit was soaring.  Most schools were closed. We didn’t have enough vaccines. And unemployment claims were sky-high.",,980,1351,8025,0,NO
1509222618934616065,2022-03-30,12:34:47,drjbhattacharya,Jay Bhattacharya,"There was never any scientific basis for the idea that vaccinated people do not ""carry the virus."" This false idea was the fundamental premise behind the discriminatory vaccine mandate/passport scheme that has violated the civil rights of countless people worldwide.",,195,2306,6225,-1,NO
1509011825593139203,2022-03-29,22:37:09,imani_barbarin,"Imani Barbarin, MAGC | Crutches&Spice ♿️","Oh also, Autism Speaks is in large part the reason why people believe vaccines cause autism, so if you think their ableism and harm doesn’t affect you…look around.",,23,2009,8047,-1,NO
1508962451210924040,2022-03-29,19:20:58,ycsm1n,yasmin,"also, jim carrey and his ex jenny mccarthy, were the highest profile celebs purveying the myth that vaccines cause autism. they signal boosted fraudulent physician's claims early on and their disinformation of life-saving measures contributed to actual deaths of human beings!",,59,978,11808,-1,NO
1508957932054097923,2022-03-29,19:03:00,jdcocchiarella,Jack Cocchiarella,Who else is excited to get their 4th COIVD vaccine when it’s available?,,1947,820,21132,1,Yes
1508927875541467137,2022-03-29,17:03:34,kevinkileyca,Kevin Kiley,"We've defeated AB 1993, the employer vaccine mandate. The author just announced she will not move it forward.",,834,3162,21015,-1,NO
1508906203572850689,2022-03-29,15:37:27,drsimonegold,Dr. Simone Gold,"Per the New York Times, “the CDC isn’t publishing large portions of the COVID data it collects.”  The agency has been reluctant to make those figures public “because they might be misinterpreted as the vaccines being ineffective.”  This is scientific fraud and censorship.",,220,5155,14585,-1,NO
1508896465099309059,2022-03-29,14:58:45,lilyaee_,Cécile,C’est a quel moment que les vaccinés on devait tous mourir ? Juste pour m’organiser les prochains mois svp merci,,484,757,6279,1,Yes
1508874733777047563,2022-03-29,13:32:24,drdavidsamadi,Dr. David Samadi,The FDA has now announced that the immunocompromised can get a fifth dose of an mNRA COVID-19 vaccine and those 50 and older can get a fourth booster dose.  What number shot are YOU on?,,6869,1672,5618,-1,NO
1508870437844897793,2022-03-29,13:15:20,k_blacck,DST Abolitionist,Jim Carrey thinks vaccines cause autism so forgive me for not giving a shit about anything he says.,,119,3007,20388,1,Yes
1508866531542941705,2022-03-29,12:59:49,doctor_oxford,Rachel Clarke,"These attempts to rewrite history are so brazen &amp; disrespectful. 186k people are dead - not least because instead of suppressing the virus until we had vaccines, @BorisJohnson chose to let it rip in two catastrophic waves causing 10s of 1000s of avoidable deaths. Unforgivable.",,173,1639,5510,1,Yes
1508759437569409030,2022-03-29,5:54:15,sophielouisecc,Sophie Corcoran,"Covid jabs for 5 to eleven year olds to start next week.   So here’s a friendly reminder that your five year old, does not need a covid vaccine.",,450,1061,6287,-1,NO
1508744880180322308,2022-03-29,4:56:25,victorsinclair3,AuBonTouiteFrançais 🍾🍾🍾,"Je n'en reviens toujours pas qu'après avoir été vaccinés, 3 fois en 8 mois, les gens trouvent parfaitement normal d'attraper le Covid et répètent stupidement l'un des mantras les plus débiles de l'histoire de la médecine (""Oui mais ça empêche les formes graves"")",,487,2994,8006,1,Yes
1508735030658539521,2022-03-29,4:17:16,prisonplanet,Paul Joseph Watson,"A vaccine so good, you get given 8 COVID tests after taking a fourth dose of it. 🥴",,633,1959,16457,-1,NO
1508667781205708803,2022-03-28,23:50:03,drthompson22,Dr Thompson,Every hour I think about how the government would rather kill kids than admit the vaccine isn’t so safe or effective.,,298,3442,12127,-1,NO
1508562475721056266,2022-03-28,16:51:36,repthomasmassie,Thomas Massie,"The government lied to you about natural immunity, the efficacy of masks, the definition of vaccine, and possible origins of the virus. Now Congress wants the government to write the “History of COVID-19”? If this gets a vote this week, I’ll be a No.  https://t.co/SnCAt1vq4A",,289,2120,7231,-1,NO
1508516695744393218,2022-03-28,13:49:41,stephan_nyc,Stephan 🇺🇲,The queen of the vaccine died 🥴😵‍💫☠️⚰️ those are really kill shots...just a matter of time.  https://t.co/FiQ4P5namO,,864,5737,10397,-1,NO
1508508782049075201,2022-03-28,13:18:15,michell92668981,Michelle The Unacceptable LA🇨🇦,"I want to follow like minded people. If you are against vaccine mandates, travel restrictions, segregation, and just tired of our governments corruption please let's be friends. We need to connect now more than ever. We need to come together and find our strength in numbers.",,900,1753,12463,1,Yes
1508472182162087938,2022-03-28,10:52:48,teampelosi,Nancy Pelosi,"Democrats are working to save lives and lower costs with a budget that keeps vaccines, testing and treatment free.  Republicans are plotting to block funding, kill the ACA, sunset Social Security, and raise taxes for nearly 1/2 of U.S. workers.  Vote accordingly #MondayMotivation",,382,2701,6366,1,Yes
1508401056358744066,2022-03-28,6:10:11,keggs719,Meghan Maureen,Nothing says confidence in your vaccine like getting 8 free tests to find out if you have the thing you got 4 shots for 🤡🤡🤡🤡,,752,4668,29515,-1,NO
